Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
Banqueiros definem apoio a Lula em troca da revogação do Pix #boato,8/1/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/banqueiros-definem-apoio-lula-troca-revogacao-pix.html
Museu Imperial oculta o nome do governo em guia de visitação para prejudicar Bolsonaro #boato,8/2/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/museu-imperial-oculta-nome-do-governo-em-guia-de-visitacao-para-prejudicar-bolsonaro.html
Lula diz que agronegócio deve ser eliminado da Terra #boato,8/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-que-agronegocio-deve-ser-eliminado-da-terra.html
Renner declara apoio a Lula e fecha parceria com o PT #boato,8/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/renner-declara-apoio-a-lula-e-fecha-parceria-com-o-pt.html
Trio do STF quer impugnar Bolsonaro após pesquisa do PT mostrar 62% de intenção de votos do presidente #boato,8/6/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/trio-do-stf-quer-impugnar-bolsonaro-apos-pesquisa-pt-mostrar-62-intencao-votos-presidente.html
"Bolsonaro é expulso de churrascaria em São Paulo, mostra vídeo #boato",8/8/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-expulso-de-churrascaria-sao-paulo-mostra-video.html
Governador do Espírito Santo impede navios russos com diesel de atracar no país #boato,8/8/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/governador-do-espirito-santo-impede-navios-russos-com-diesel-de-atracar-no-pais.html
Militantes chamam Lula de ladrão em protesto durante comício #boato,8/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/militantes-chamam-lula-ladrao-protesto-durante-comicio.html
TSE faz campanha eleitoral para Lula em código de verificação de título eleitoral #boato,8/10/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/tse-faz-campanha-eleitoral-para-lula-em-codigo-de-verificacao-de-titulo-eleitoral.html
Placa da Marginal Luis Inácio Lula da Silva é verdadeira #boato,8/11/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/placa-da-marginal-luis-inacio-lula-da-silva-e-verdadeira.html
"Funcionária do TSE relata vulnerabilidades nas urnas eletrônicas (sistema eletrônico eleitoral brasileiro), mostra vídeo #boato",8/12/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/funcionaria-do-tse-relata-vulnerabilidades-nas-urnas-eletronicas-sistema-eletronico-eleitoral-brasileiro-mostra-video.html
Bolsonaro e Michelle almoçaram com Guilherme de Pádua e esposa #boato,8/12/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-michelle-almocaram-com-guilherme-de-padua-esposa.html
Bolsonaro publica decreto que determina participação das Forças Armadas nas eleições #boato,8/13/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-publica-decreto-determina-participacao-das-forcas-armadas-nas-eleicoes.html
Miriam Leitão diz que redução de homicídios prejudica funerárias #boato,8/13/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/miriam-leitao-diz-reducao-homicidios-prejudica-funerarias.html
"Haddad diz que policial não deve andar armado, que bandido é cidadão de bem e que vai acabar com a Rota #boato",8/14/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/haddad-diz-que-policial-nao-deve-andar-armado-que-bandido-e-cidadao-de-bem-e-que-vai-acabar-com-a-rota.html
Conta no Twitter de Michelle Bolsonaro foi suspensa por racismo e intolerância religiosa #boato,8/14/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/conta-twitter-michelle-bolsonaro-foi-suspensa-racismo-intolerancia-religiosa.html
Lula escreveu carta para a Shell nos anos 80 reclamando de Lei Seca #boato,8/15/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-escreveu-carta-para-shell-anos-80-reclamando-de-lei-seca.html
Novos títulos de eleitor vêm com QR Code que transfere votos para Lula “L13” #boato,8/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/novos-titulos-de-eleitor-qr-code-que-transfere-votos-para-lula-l13.html
Pesquisa Ipec do Jornal Nacional (Globo) mostra Bolsonaro na frente de Lula #boato,8/17/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pesquisa-ipec-jornal-nacional-globo-mostra-bolsonaro-na-frente-de-lula.html
Vídeo mostra Lula bêbado durante lançamento de sua campanha ontem #boato,8/18/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/video-mostra-lula-bebado-durante-lancamento-de-sua-campanha-ontem.html
Foto mostra Randolfe Rodrigues fazendo pose quando era criança #boato,8/19/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/foto-mostra-randolfe-rodrigues-fazendo-pose-quando-era-crianca.html
"Daniele Moura, da Emerj, dá resposta para Dias Toffoli em carta #boato",8/20/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/daniele-moura-da-emerj-da-resposta-para-dias-toffoli-em-carta.html
Sobrinho de Lula admite que vai votar em Bolsonaro #boato,8/21/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/sobrinho-de-lula-admite-que-vai-votar-em-bolsonaro.html
Lula criou decreto PNDH-3 que acaba com religião cristã e censura imprensa #boato,8/22/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-criou-decreto-pndh-3-que-acaba-com-religiao-crista-e-censura-imprensa.html
Bolsonaro será entrevistado na Record hoje às 22h #boato,8/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-sera-entrevistado-record-hoje-as-22h.html
"Bolsonaro será entrevistado no Programa do Ratinho (SBT) nesta quinta-feira às 20h30, mesmo horário da entrevista de Lula no Jornal Nacional (Globo) #boato",8/23/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-sera-entrevistado-ratinho-sbt-quinta-feira-20h30-mesmo-horario-lula-jornal-nacional-globo.html
Mourão escreveu texto no Estadão hoje que começa com “não vi nosso presidente proibir nem obrigar ninguém a se vacinar” #boato,8/26/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mourao-escreveu-texto-no-estadao-que-comeca-com-nao-vi-nosso-presidente-proibir-nem-obrigar-ninguem-se-vacinar.html
Lula recebeu folha com respostas da Globo em entrevista no Jornal Nacional #boato,8/27/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-recebeu-folha-respostas-globo-entrevista-jornal-nacional.html
Doria se arrepende e anuncia apoio a Bolsonaro nas eleições de 2022 #boato,8/28/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/doria-se-arrepende-anuncia-apoio-bolsonaro-nas-eleicoes-de-2022.html
Bolsonaro criou o sistema de pagamentos Pix #boato,8/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/bolsonaro-criou-sistema-de-pagamentos-pix.html
Lula é flagrado abraçando Suzane Von Richtofen em foto #boato,8/29/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-flagrado-abracando-suzane-von-richtofen-foto.html
