Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
"O vídeo do suposto saque em Tucumán, na Argentina, foi gravado em um protesto",8/2/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32FV6CM
"Os homens com tatuagens nazistas fotografados em uma praia são húngaros, não refugiados ucranianos",8/2/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32FV89Z
O portal g1 não noticiou que banqueiros apoiarão Lula em troca de revogação do PIX,8/3/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32FX6VB
William Bonner não chamou Lula e Alckmin de ladrões; áudio de vídeo viral foi manipulado,8/4/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32FZ6TV
Este vídeo foi publicado há mais de um ano e não mostra a escolta de Nancy Pelosi em Taiwan,8/4/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32FZ8BY
Vídeo de Tom Cruise segurando um emblema escrito “Brasil” não era em apoio a Bolsonaro,8/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32G33LR
"Homem que defende reeleição de Bolsonaro em vídeo é David Cardoso Jr, e não Fábio Assunção",8/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32G368F
"É falso que Lula disse que o agronegócio deve ser ""eliminado da Terra""",8/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32G37XW
Vídeo em que Neymar fala sobre voto foi cortado para sugerir que ele apoia Lula,8/5/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32G893B
A ONU não promove a fome mundial; o artigo que fala dos seus “benefícios” é uma crítica,8/9/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GA64V
Lula não disse que 100% das mulheres mexicanas são mulheres; áudio foi adulterado,8/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GA6GZ
Checamos as principais alegações de Bolsonaro sobre a covid-19 em entrevista ao podcast Flow,8/10/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GA7CE
Programas da TV Globo apresentados por Luciano Huck não receberam verbas da Lei Rouanet,8/15/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GK9YH
Homem que aparece ao lado de Lula em foto viral não é irmão de Adélio Bispo,8/15/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GL26R
Vídeo com compilado de declarações de Lula tira trechos de contexto,8/16/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GM4A6
"Número divulgado por usuários em referência a Bolsonaro é de 2018; em 2022, ele usa 22",8/17/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GN98R
Lula não disse que é preciso acabar com férias e 13º por serem muito caros; vídeo foi manipulado,8/18/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GQ8AY
"Mulher que diz em vídeo que sistema eleitoral brasileiro é ""inauditável"" não é funcionária do TSE",8/18/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GR23X
Pesquisa Ipec de 08/2022 não apontou Bolsonaro com 44% dos votos; reportagem foi manipulada,8/19/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GT2TN
"Vídeo mostra apreensão de bens de empresário argentino, não da vice-presidente Cristina Kirchner",8/19/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GT7MF
"Impulsionar o aborto, fomentar a eutanásia e outras frases falsas sobre a Agenda 2030 da ONU",8/23/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GY7QL
O QR Code no título de eleitor não é usado para computar voto nas eleições,8/23/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GY8UW
A revista Vogue não publicou em 1939 uma foto de Adolf Hitler e Eva Braun sentados em um muro,8/24/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32GZ9YA
Vídeo de 2020 é usado para sugerir que Ratinho agendou entrevista com Bolsonaro em 25/08/2022,8/24/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32H267R
"A audiência da sabatina de Bolsonaro no Jornal Nacional não foi de 97,3% dos televisores ligados",8/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32H66HD
"Ao menos outros 12 países tiveram deflação em julho; Brasil não foi o único, como dizem nas redes",8/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32H67MN
Suposta matéria do G1 noticiando que Lula vai investir em usina nuclear em Cuba é montagem,8/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32H68AW
"Viúva de Che Guevara não poderia receber aposentadoria no Brasil, ao contrário do viralizado",8/26/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32H6946
O primeiro debate presidencial para as eleições 2022 verificado,8/29/2022,,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HA9F2
Lula não teve lapso de memória em debate; finalizou sua resposta quando seu tempo esgotou,8/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC4P2
"É falso que Bolsonaro teve pico de 84 pontos de audiência e Lula de 34, durante participação no JN",8/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC83D
TV Globo não tirou do ar vídeo que mostra Gilmar Mendes criticando o PT,8/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC8D2
Não há nenhuma lei ou projeto de lei que proíba o uso da Bíblia no Brasil,8/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HD2LW
Foto de Lula com Suzane von Richthofen é uma montagem; original era com Patrícia Lélis,8/30/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HD2W6
"Vídeo cortado omite que apresentadora do UOL se referia a Simone Tebet, não a Vera Magalhães",8/31/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HE9GJ
"Vídeo de 2020 foi cortado para simular contradição de Renata Vasconcellos sobre o ""fique em casa""",8/31/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HE9ZK
"Lula não chamou apoiadores de vagabundos, traficantes e bandidos; vídeo viral foi editado",9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HG9YG
Reportagem da CNN não revelou plano do PT para confiscar dinheiro da população se Lula for eleito,9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HH3FY
Salário anual de Vera Magalhães na TV Cultura não é de R$ 500 mil; é de quase metade desse valor,9/1/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HH3UW
"Artigo do C5N foi publicado minutos após o ataque a Cristina Kirchner, e não ""horas antes""",9/2/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HK2MZ
"Instituto Lula não fica no mesmo endereço do Ipec, que realiza pesquisas eleitorais",9/5/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HQ3HU
O militante fotografado com Cristina Kirchner em 2016 não é quem a atacou em 2022,9/5/2022,Falsa,indefinido,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HQ6J9
"Vídeo não mostra ataque em Sergipe a apoiadores de Lula, mas sim a profissionais da imprensa",9/6/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HR87K
Imagem de Flávio Bolsonaro com uma camisa contra nordestinos é montagem,9/6/2022,Falsa,Lula,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HT2NW
Vocalista do Iron Maiden não declarou apoio a Bolsonaro no Rock in Rio 2022,9/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HV37E
"CNSaúde iniciou ação contra piso da enfermagem, e não Conselho Nacional de Saúde",9/7/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HV9NB
Fernando Sabag Montiel não usou uma pistola de água em atentado contra Cristina Kirchner,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HX72H
Vídeo com multidão de apoiadores de Jair Bolsonaro não é de 2022; circula desde 2021,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HY7UZ
Vídeo de Lula falando em comprar voto de baianos por 10 reais foi manipulado,9/8/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HY7YP
Mesário não tem como anular votos e alterar a assinatura do eleitor é crime eleitoral,9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J277T
"Vídeo de gritos contra Lula circula vinculado ao Rock in Rio, mas foi gravado em show em Manaus",9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J32B8
Um combo de quatro fotos de multidões em 7 de setembro de 2021 circula vinculado a 2022,9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J33UK
"Gleisi Hoffmann não ""previu derrota do PT"" após 1º debate de 2022; áudio de 2020 foi editado",9/9/2022,Falsa,Jair Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.32J34VY
