,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
0,Vídeo mostra simulação de fraude em urna diferente da usada no Brasil,8/1/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-simulacao-de-fraude-em-urna-diferente-da-usada-no-brasil/
1,Foto de Gusttavo Lima beijando bandeira não tem relação com Bebel Gilberto,8/1/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/gusttavo-lima-beija-bandeira-bebel-gilberto/
2,É falso que ‘G1’ publicou que banqueiros apoiam Lula em troca da revogação do Pix,8/1/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-g1-publicou-que-banqueiros-apoiam-lula-em-troca-da-revogacao-do-pix/
3,Vídeo infla número de leis sancionadas por Bolsonaro que beneficiam mulheres,8/2/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/leis-mulheres-bolsonaro/
4,Edição inclui vídeo de saque no México como se fosse na Argentina,8/2/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/edicao-inclui-video-de-saque-no-mexico-como-se-fosse-na-argentina/
5,É falso que Tom Cruise manifestou apoio a Bolsonaro em vídeo,8/3/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-tom-cruise-manifestou-apoio-a-bolsonaro-em-video/
6,É falso que OMS estima que vacinas reduzirão população mundial em 15%,8/3/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-oms-estima-que-vacinas-reduzirao-populacao-mundial-em-15/
7,"O que Lula, Bolsonaro, Ciro, Janones e Tebet falam de enganoso sobre suas biografias",8/3/2022,,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/lula-bolsonaro-ciro-janones-tebet-falam-enganoso-biografias/
8,Jean Wyllys não foi intimado a depor sobre Adélio Bispo,8/3/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/jean-wyllys-nao-foi-intimado-a-depor-sobre-adelio-bispo/
9,Regra da Conmebol impediu que jogadora do Brasil levasse bandeira ao pódio,8/3/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/regra-da-conmebol-impediu-que-jogadora-do-brasil-levasse-bandeira-ao-podio/
10,Pesquisa eleitoral que aparece em vídeo não foi registrada no TSE,8/4/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-eleitoral-que-aparece-em-video-nao-foi-registrada-no-tse/
11,"Vídeo mostra dispersão de protesto, não saques na Argentina",8/4/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-mostra-dispersao-de-protesto-nao-saques-na-argentina/
12,"Vídeo com sirenes foi gravado em Taiwan, não na China",8/4/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/video-com-sirenes-foi-gravado-em-taiwan-nao-na-china/
13,Mesário não pode anular voto de quem usa camiseta amarela,8/5/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/mesario-nao-pode-anular-voto-de-quem-usa-camiseta-amarela/
14,É falso que Lula disse que agronegócio deve ser ‘eliminado da Terra’,8/5/2022,Falsa,Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-lula-disse-que-agronegocio-deve-ser-eliminado-da-terra/
15,Vídeo de manobra militar não tem relação com visita de deputada dos EUA a Taiwan,8/5/2022,Falsa,indefinido,Aos Fatos,https://www.aosfatos.org/noticias/video-de-manobra-militar-nao-tem-relacao-com-visita-de-deputada-dos-eua-a-taiwan/
