,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
0,Sergio Moro tirou foto ao lado do Lula após seu partido declarar apoio à candidatura do ex-presidente?,8/1/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/sergio-moro-tirou-foto-ao-lado-do-lula-apos-seu-partido-declarar-apoio-a-candidatura-do-ex-presidente.html
1,Jogadoras foram proibidas de usar a bandeira do Brasil por perseguição política?,8/2/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/jogadoras-foram-proibidas-de-usar-a-bandeira-do-brasil-por-perseguicao-politica.html
2,Máquina separa bolinhas por cores através de nanotecnologia! Será verdade?,8/4/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/maquina-separa-bolinhas-por-cores-atraves-de-nanotecnologia-sera-verdade.html
3,Cartilha ensinando o uso de drogas para crianças foi distribuída no governo Lula?,8/7/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/cartilha-ensinando-o-uso-de-drogas-para-criancas-foi-distribuida-no-governo-lula.html
4,O ex-deputado Marco Maia revelou esquema de fraudes nas urnas?,8/9/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/o-ex-deputado-marco-maia-revelou-esquema-de-fraudes-nas-urnas.html
5,Mesários vão invalidar os votos de quem estiver de camisa amarela?,8/15/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/mesarios-vao-invalidar-os-votos-de-quem-estiver-de-camisa-amarela.html
6,Bolsonaro se encontrou com os assassinos da Daniella Perez?,8/15/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/bolsonaro-se-encontrou-com-os-assassinos-da-daniella-perez.html
7,Luciano Hang Lemann anunciou na CBN como ficar milionário negociando criptomoedas?,8/16/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/luciano-hang-lemann-anunciou-na-cbn-como-ficar-milionario-negociando-criptomoedas.html
8,A primeira pesquisa paga pela Globo deu 44% de vitória para Bolsonaro?,8/17/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/a-primeira-pesquisa-paga-pela-globo-deu-44-de-vitoria-para-bolsonaro.html
9,Bolsonaro será entrevistado no Ratinho na mesma hora da sabatina do Lula no Jornal Nacional?,8/24/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/bolsonaro-sera-entrevistado-no-ratinho-na-mesma-hora-da-sabatina-do-lula-no-jornal-nacional.html
10,Renata Vasconcellos entrevistou o Lula usando sapatos vermelhos?,8/26/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/renata-vasconcellos-entrevistou-o-lula-usando-sapatos-vermelhos.html
11,"Kim Nam-Joon, do BTS, foi eleito o homem mais bonito do mundo?",8/29/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/kim-nam-joon-do-bts-foi-eleito-o-homem-mais-bonito-do-mundo.html
12,A verdade sobre 6 notícias falsas envolvendo as eleições!,9/1/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/a-verdade-sobre-6-noticias-falsas-envolvendo-as-eleicoes.html
13,"Nando Reis ouviu “mito, mito” ao falar “Fora, Bolsonaro” no Rock in Rio?",9/12/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/nando-reis-ouviu-mito-mito-ao-falar-fora-bolsonaro-no-rock-in-rio.html
14,A placa do carro fúnebre da Rainha Elisabeth é ‘JB0022’?,9/13/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/a-placa-do-carro-funebre-da-rainha-elisabeth-e-jb2022.html
15,Suíça oferece recompensa para quem delatar vizinho que usa aquecedor a mais de 19 graus?,9/13/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/suica-oferece-recompensa-para-quem-delatar-vizinho-que-usa-aquecedor-a-mais-de-19-graus.html
16,O desenho Os Simpsons previu a morte da rainha Elizabeth II?,9/14/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/o-desenho-os-simpsons-previu-a-morte-da-rainha-elizabeth-ii.html
17,O rei Charles III apareceu com o paletó mal abotoado após a morte da mãe?,9/20/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/o-rei-charles-iii-apareceu-com-o-paleto-mal-abotoado-apos-a-morte-da-mae.html
18,Manifestantes incendiaram o Chile em guerra civil por causa da eleição de Gabriel Boric?,9/26/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/manifestantes-incendiaram-o-chile-em-guerra-civil-por-causa-da-eleicao-de-gabriel-boric.html
19,Sindicato filiado à CUT foi flagrado adulterando urnas eletrônicas em Itapeva?,9/28/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/sindicato-filiado-a-cut-foi-flagrado-adulterando-urnas-eletronicas-em-itapeva.html
20,Mesários bolsonaristas vão reter o comprovante de votação e culpar as urnas eletrônicas?,9/29/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/mesarios-bolsonaristas-vao-reter-o-comprovante-de-votacao-e-culpar-as-urnas-eletronicas.html
21,As urnas terão um delay que cancela a votação se o eleitor confirmar o voto?,10/1/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/as-urnas-terao-um-delay-que-cancela-a-votacao-se-o-eleitor-confirmar-o-voto.html
22,"Barreiras, com apenas 158 mil habitantes, teve 212 mil votos para o Lula?",10/3/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/barreiras-com-apenas-58-mil-habitantes-teve-212-mil-votos-para-o-lula.html
23,Bolsonaro posou em foto na maçonaria em frente a um quadro de Baphomet?,10/5/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/bolsonaro-posou-em-foto-na-maconaria-em-frente-a-um-quadro-de-baphomet.html
24,Uberaba (MG) teve mais eleitores para presidente do que para os demais cargos?,10/6/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/uberaba-mg-teve-mais-eleitores-para-presidente-do-que-para-os-demais-cargos.html
25,Checamos lista compartilhada com 60 ações do governo Jair Bolsonaro! (parte 1),10/12/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/checamos-lista-compartilhada-com-60-acoes-do-governo-jair-bolsonaro-parte-1.html
26,Bolsonaro tuitou que a Igreja fracassou e que nenhum padre determina onde ele faz campanha?,10/13/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/bolsonaro-tuitou-que-a-igreja-fracassou-e-que-nenhum-padre-determina-onde-ele-faz-campanha.html
27,Vídeo: 7 fake news que circularam na semana das eleições de 2022,10/14/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/video-7-fake-news-que-circularam-na-semana-das-eleicoes-de-2022.html
28,Checamos lista compartilhada com 60 ações do governo Jair Bolsonaro! (parte 2),10/15/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/checamos-lista-compartilhada-com-60-acoes-do-governo-jair-bolsonaro-parte-2.html
29,Um mosaico antigo com imagem de OVNI foi mesmo encontrado na Itália?,10/18/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/um-mosaico-antigo-com-imagem-de-ovni-foi-mesmo-encontrado-na-italia.html
30,Vândalos do MST incendiaram carros de padre e de freiras em Eldorado do Carajás?,10/19/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/vandalos-do-mst-incendiaram-carros-de-padre-e-de-freiras-em-eldorado-do-carajas.html
31,A verdade sobre 7 imagens de sereias que ficaram famosas na web!,10/20/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/a-verdade-sobre-7-imagens-de-sereias-que-ficaram-famosas-na-web.html
32,Xuxa disse que a PF atingida por Roberto Jefferson estava grávida e perdeu o bebê?,10/24/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/xuxa-disse-que-a-pf-atingida-por-roberto-jefferson-estava-gravida-e-perdeu-o-bebe.html
33,Rádios veicularam mais propagandas do Lula do que do Bolsonaro?,10/27/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/radios-veicularam-mais-propagandas-do-lula-do-que-do-bolsonaro.html
34,A verdade sobre 5 fake news envolvendo o MST!,10/27/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/a-verdade-sobre-5-fake-news-envolvendo-o-mst.html
35,Urna eletrônica deu voto para o Lula e para o Bolsonaro ao mesmo tempo? ,11/1/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/urna-eletronica-deu-voto-para-o-lula-e-para-o-bolsonaro-ao-mesmo-tempo.html
36,O general Villas Boas instituiu intervenção militar do Exército no Brasil?,11/1/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/o-general-villas-boas-instituiu-intervencao-militar-do-exercito-no-brasil.html
37,"É verdade que Geraldo Alckmin, vice de Lula, disse que vai taxar o PIX?",11/7/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/e-verdade-que-geraldo-alckmin-vice-de-lula-disse-que-vai-taxar-o-pix.html
38,Manifestantes erram em faixa em inglês e trocam “eleições” por “ereções”! Será verdade?,11/10/2022,Falsa,Lula,E-farsas,https://www.e-farsas.com/manifestantes-erram-em-faixa-em-ingles-e-trocam-eleicoes-por-erecoes-sera-verdade.html
39,Uma mulher desapareceu atrás da Scarlett Johansson?,11/12/2022,Falsa,indefinido,E-farsas,https://www.e-farsas.com/uma-mulher-desapareceu-atras-da-scarlett-johansson.html
40,Relatório das Forças Armadas descobriu fraude nas urnas eletrônicas?,11/12/2022,Falsa,Jair Bolsonaro,E-farsas,https://www.e-farsas.com/relatorio-das-forcas-armadas-descobriu-fraude-nas-urnas-eletronicas.html
