Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
"Hacker foi preso por vazar dados de pelo menos 233 milhões de pessoas, não por invadir TSE",8/8/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/hacker-foi-preso-por-vazar-dados-de-pelo-menos-233-milhoes-de-pessoas-nao-por-invadir-tse
"Forças Armadas não tiveram ""acesso dificultado"" a código-fonte das urnas",8/8/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/forcas-armadas-nao-tiveram-acesso-dificultado-a-codigo-fonte-das-urnas
Vídeo desinforma ao repetir alegações enganosas feitas em encontro com embaixadores,8/8/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/video-desinforma-ao-repetir-alegacoes-enganosas-feitas-em-encontro-com-embaixadores
"Mulher que afirma que urna é ""inconfiável"" e ""inauditável"" nunca foi funcionária do TSE",8/12/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/mulher-que-afirma-que-urna-e-inconfiavel-e-inauditavel-nunca-foi-funcionaria-do-tse
É falsa a alegação de que TSE usa sistema de autenticação do título para fazer campanha eleitoral,8/17/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falsa-a-alegacao-de-que-tse-usa-sistema-de-autenticacao-do-titulo-para-fazer-campanha-eleitoral
QR Code no título serve apenas para autenticar documentos e não computa voto do eleitor,8/17/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/qr-code-no-titulo-de-eleitor-serve-para-autenticar-documentos-emitidos-pela-je
Decreto que prevê atuação das Forças Armadas nas eleições não confere mais poder à Presidência,8/17/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/decreto-que-preve-atuacao-das-forcas-armadas-nas-eleicoes-e-praxe-no-brasil-e-nao-confere-mais-forca-a-presidencia-da-republica
É falso que hacker tenha invadido rede interna do TRE-RJ para desviar votos nas Eleições 2012,8/24/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-hacker-tenha-invadido-rede-interna-do-tre-rj-para-desviar-votos-nas-eleicoes-2012
Post resgata notícias falsas das Eleições 2018 já desmentidas pelo TSE e por agências de checagem,8/25/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/post-resgata-noticias-falsas-das-eleicoes-2018-ja-desmentidas-pelo-tse-e-pelas-agencias-de-checagem
Lei eleitoral proíbe assinatura com número de candidato no caderno de votação,8/31/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/lei-eleitoral-proibe-assinatura-com-numero-de-candidato-no-caderno-de-votacao
É falso que TSE proibiu eleitor de levar celular e de usar o e-Título no dia da eleição,9/2/2022,Falsa,indefinido,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-falso-que-tse-proibiu-eleitor-de-levar-celular-e-de-usar-o-e-titulo-no-dia-da-eleicao
Mensagem que anunciava revelação de esquema de fraude nas urnas por ex-deputado é falsa,9/2/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/mensagem-que-anunciava-revelacao-de-um-suposto-esquema-de-fraude-nas-urnas-por-ex-deputado-federal-e-falsa
TSE não proibiu presidente de reduzir preço dos combustíveis,9/6/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/tse-nao-proibiu-presidente-de-reduzir-o-preco-dos-combustiveis
IBGE não utiliza celular com urna eletrônica para roubar biometria e dados de eleitores,9/8/2022,Falsa,Jair Bolsonaro,Fato ou Boato (Justiça Eleitoral),https://www.justicaeleitoral.jus.br/fato-ou-boato/checagens/e-mentira-que-ibge-utilize-celular-com-urna-eletronica-para-roubar-biometria-e-dados-de-eleitores
