,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
0,"É falso que violência no campo caiu, como disse Bolsonaro na RedeTv",9/1/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/01/e-falso-que-violencia-no-campo-caiu-como-disse-bolsonaro-na-redetv.htm
1,É falso que empresa de pesquisa eleitoral funcione dentro do Instituto Lula,9/1/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/comprova/ultimas-noticias/2022/09/01/e-falso-que-empresa-de-pesquisa-eleitoral-funcione-dentro-do-instituto-lula.htm
2,TSE manda redes apagarem fake news que ligam Lula a irmão de Adélio Bispo,9/1/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/eleicoes/2022/09/01/tse-determina-remocao-de-posts-que-associam-lula-a-suposto-irmao-de-adelio.htm
3,Vídeo em que Bolsonaro faz oração é de 2018 e não foi gravado antes do JN,9/1/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/01/video-bolsonaro-oracao-jornal-nacional-2022.htm
4,Post distorce fala irônica em que Randolfe diz controlar ações da PF e STF,9/1/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/01/audio-falso-senador-randolfe-rodrigues.htm
5,Bolsonaro distorce dados do desmatamento em comparação com Lula,9/2/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/02/bolsonaro-distorce-dados-do-desmatamento-em-comparacao-com-governo-lula.htm
6,É falso que Lula disse que 'enfermeiros só servem para servir sopa',9/5/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/05/e-falso-que-lula-disse-que-enfermeiros-so-servem-para-servir-sopa.htm
7,Celular só é proibido na cabine de votação; uso do e-Título é permitido,9/6/2022,Falsa,indefinido,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/06/celular-so-e-proibido-na-cabine-de-votacao-uso-do-e-titulo-e-permitido.htm
8,"Confederação Nacional da Saúde questionou piso da enfermagem, não PL",9/6/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/06/confederacao-nacional-da-saude-questionou-piso-da-enfermagem-nao-pl.htm
9,Bolsonaro engana ao dizer que escolheu ministros por critérios técnicos,9/6/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/06/bolsonaro-engana-escolha-ministros-criterio-tecnico.htm
10,Auxílio Brasil de R$ 600 só vale até o fim do ano,9/8/2022,Falsa,indefinido,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/08/checagem-live-bolsonaro-8-de-setembro-2022.htm
11,Jayme Monjardim não gravou vídeo criticando Fernando Haddad,9/8/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/08/jayme-monjardim-nao-gravou-video-criticando-fernando-haddad.htm
12,"Corrupção: Bolsonaro cita 'combate para valer', mas Brasil cai em rankings",9/8/2022,,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/07/e-falso-que-bolsonaro-combate-a-corrupcao-para-valer-como-disse-em-ato.htm
13,É falso que indígenas fizeram ritual em homenagem a Bolsonaro em MT,9/9/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/publicacao-falsa-indiociata-apoio-bolsonaro.htm
14,Renata Vasconcellos não usou sapatos vermelhos ao entrevistar Lula no JN,9/9/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/sapato-vermelho-renata-vasconcellos-entrevista-lula.htm
15,Lula não chamou negros de vagabundos; vídeo distorce fala do ex-presidente,9/9/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/e-falso-que-lula-chamou-negros-de-vagabundos-frase-foi-tirada-de-contexto.htm
16,É falso que jornalista Vera Magalhães ganha R$ 500 mil ao ano da TV Cultura,9/9/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/e-falso-que-vera-magalhaes-ganha-r-500-mil-por-ano-da-tv-cultura.htm
17,É falso que jovens negros que vaiaram motociata portavam drogas ou armas,9/9/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/09/e-falso-que-jovens-negros-que-vaiaram-motociata-portavam-drogas-ou-armas.htm
18,Montagem falsa de Richthofen como candidata pelo PT volta a circular,9/12/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/12/montagem-falsa-de-richthofen-como-candidata-pelo-pt-volta-a-circular.htm
19,PT erra ao citar que clã Bolsonaro pagou R$ 25 mi em dinheiro vivo,9/13/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/13/pt-erra-ao-citar-que-cla-bolsonaro-pagou-r-25-mi-em-dinheiro-vivo.htm
20,É falso que Bolsonaro cortou recursos para Argentina e Panamá,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/corte-recursos-panama-argentina-importacoes.htm
21,É falso que pistola d'água foi usada em atentado contra Cristina Kirchner,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/e-falso-que-pistola-dagua-foi-usada-em-atentado-contra-cristina-kirchner.htm
22,É montagem vídeo em que Lula fala em comprar voto de baianos por R$ 10,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/video-de-lula-falando-em-comprar-voto-de-baianos-por-r-10-foi-manipulado.htm
23,É falso que Minas Tênis censurou uniforme para prejudicar Bolsonaro,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/e-falso-que-minas-tenis-censurou-uniforme-para-prejudicar-bolsonaro.htm
24,Post falso diz que Ursal quer fraudar urnas na eleição brasileira,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/post-falso-diz-que-ursal-quer-fraudar-urnas-na-eleicao-brasileira.htm
25,Multishow não escondeu imagem de Iron Maiden erguendo bandeira do Brasil,9/15/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/15/multishow-nao-escondeu-imagem-de-iron-maiden-erguendo-bandeira-do-brasil.htm
26,Post distorce matéria antiga sobre ação já arquivada pelo TSE,9/16/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/16/post-distorce-materia-antiga-sobre-acao-ja-arquivada-pelo-tse.htm
27,É falso que cartórios tenham desmentido dinheiro vivo em imóveis,9/16/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/16/moeda-corrente-significa-dinheiro-vivo-em-documentos-entenda.htm
28,Imagem de Flávio Bolsonaro com camisa contra nordestinos é montagem,9/16/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/16/imagem-de-flavio-bolsonaro-com-camisa-contra-nordestinos-e-montagem.htm
29,Pesquisadora do Datafolha não negou entrevista por posicionamento político,9/19/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/comprova/ultimas-noticias/2022/09/19/pesquisadora-do-datafolha-nao-negou-entrevista-por-posicionamento-politico.htm
30,É falsa foto de ministro do TSE vestindo roupa com imagem de Lula,9/19/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/19/e-falsa-foto-de-ministro-do-tse-vestindo-roupa-com-foto-de-lula.htm
31,É falso que pesquisa Ipec mostra Bolsonaro na frente de Lula com 46% no JN,9/19/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/19/e-falso-que-pesquisa-ipec-mostra-bolsonaro-na-frente-de-lula-com-46-no-jn.htm
32,É falso que apoiadores de Lula levaram ovadas e pedradas em Sergipe,9/19/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/19/e-falso-que-apoiadores-de-lula-levaram-ovadas-e-pedradas-em-sergipe.htm
33,Bolsonaro mente na ONU ao dizer que 'não poupou esforços' na pandemia,9/20/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/20/bolsonaro-mentiras-onu-assembleia-geral-2022.htm
34,Bolsonaro não foi expulso do Maracanã aos gritos em 7 de setembro,9/21/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/21/bolsonaro-nao-foi-expulso-do-maracana-aos-gritos-no-7-de-setembro.htm
35,É falso que manifestante anti-Bolsonaro tenha sido presa em Londres,9/21/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/21/e-falso-que-manifestante-antibolsonarista-tenha-sido-presa-em-londres.htm
36,É falso que Bolsonaro foi preso por ato terrorista e expulso do Exército,9/22/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/22/e-falso-que-bolsonaro-foi-expulso-do-exercito-e-preso-por-atos-terroristas.htm
37,Video erra dados do Datafolha para desacreditar 2º lugar de Bolsonaro,9/22/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/22/publicacao-distorce-pesquisa-datafolha.htm
38,É falso que desembargador abriu queixa-crime contra jornalistas do UOL,9/23/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/23/confere-e-falso-que-desembargador-abriu-queixa-crime-contra-jornalistas-uol.htm
39,É falso que Nubank vai fechar as portas no Brasil,9/23/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/22/e-falso-que-nubank-vai-fechar-as-portas-no-brasil.htm
40,Caso Daniel Silveira: o que pode tornar um candidato inelegível?,9/26/2022,,indefinido,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/26/caso-daniel-silveira-o-que-pode-tornar-um-candidato-inelegivel.htm
41,Homem que aparece nu em ato pró-LGBTQIA+ não é professor universitário,9/26/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/26/falso-professor-petista-pelado-universidade.htm
42,É falso que livro do 'kit gay' foi distribuído em escola municipal na Bahia,9/26/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/26/kit-gay-distribuido-escola-camacari.htm
43,É falso que Maiara e Maraísa foram vaiadas após criticarem Bolsonaro,9/26/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/26/falso-maiara-maraisa-expulsas-show.htm
44,Programa de governo PT não propõe poupança fraterna e moradia social,9/27/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/27/post-falso-diz-que-pt-propoe-poupanca-fraterna-e-moradia-social.htm
45,É falso que não havia bandeiras do Brasil na 1ª posse de Lula,9/27/2022,Falsa,Jair Bolsonaro,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/27/e-falso-que-nao-havia-bandeiras-do-brasil-na-1-posse-de-lula.htm
46,É falso áudio de Bolsonaro que dá a entender que Michelle cumpriu pena,9/27/2022,Falsa,Lula,UOL Confere,https://noticias.uol.com.br/confere/ultimas-noticias/2022/09/27/audio-de-bolsonaro-que-da-a-entender-que-michelle-cumpriu-pena-e-adulterado.htm
